City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Arraial Do Cabo,BR,-22.9661,-42.0278,69.73,93,71,2.98,broken clouds
79,Mayo,US,38.8876,-76.5119,65.12,85,100,8.05,overcast clouds
80,Upernavik,GL,72.7868,-56.1549,13.32,74,2,5.08,clear sky
81,Opuwo,NA,-18.0607,13.84,65.3,54,7,2.59,clear sky
82,Chokurdakh,RU,70.6333,147.9167,10.02,85,43,4.54,scattered clouds
83,Nouakchott,MR,18.0858,-15.9785,89.53,42,20,9.57,few clouds
84,La Ciotat,FR,43.1748,5.6045,69.82,74,2,3.4,clear sky
85,Airai,TL,-8.9266,125.4092,75.4,56,17,2.26,few clouds
86,Trinidad,BO,-14.8333,-64.9,66.54,91,12,4.81,few clouds
87,Leningradskiy,RU,69.3833,178.4167,18.59,75,84,5.99,broken clouds
88,Victor Harbor,AU,-35.5667,138.6167,63.0,66,99,1.99,light rain
89,Dikson,RU,73.5069,80.5464,29.17,76,99,13.13,overcast clouds
90,Moree,AU,-29.4667,149.85,77.02,47,40,18.41,scattered clouds
91,Norman Wells,CA,65.282,-126.8329,26.64,86,75,5.75,broken clouds
92,Nelson Bay,AU,-32.7167,152.15,72.09,68,98,21.0,overcast clouds
93,Tuatapere,NZ,-46.1333,167.6833,54.28,54,8,6.71,clear sky
94,Skibbereen,IE,51.55,-9.2667,49.69,86,83,4.97,broken clouds
95,Victoria,HK,22.2855,114.1577,82.26,48,5,8.99,clear sky
96,Exeter,GB,50.7236,-3.5275,54.86,95,100,3.62,overcast clouds
97,New Norfolk,AU,-42.7826,147.0587,62.71,70,100,1.01,light rain
98,Vila Velha,BR,-20.3297,-40.2925,75.15,83,20,8.05,few clouds
99,Mar Del Plata,AR,-38.0023,-57.5575,56.08,70,0,4.0,clear sky
100,Laguna,US,38.421,-121.4238,75.45,66,0,5.75,clear sky
101,Millau,FR,44.0833,2.9167,51.93,95,10,2.04,clear sky
102,Emerald,AU,-23.5333,148.1667,79.34,43,0,14.12,clear sky
103,Duluth,US,46.7833,-92.1066,44.08,80,100,13.8,overcast clouds
104,Castro,BR,-24.7911,-50.0119,60.04,98,100,3.13,overcast clouds
105,Chunskiy,RU,56.0815,99.6342,35.08,98,100,7.07,snow
106,Ningbo,CN,29.8782,121.5495,69.78,64,75,11.18,broken clouds
107,Narsaq,GL,60.9167,-46.05,25.02,69,0,8.81,clear sky
108,Busselton,AU,-33.65,115.3333,56.82,59,75,4.61,broken clouds
109,Saskylakh,RU,71.9167,114.0833,22.8,96,100,7.87,overcast clouds
